Date - MST,Measure Names,Measure Values
1/1/2022 12:00:00 AM,Avg. Gas Price,4.208548387
12/1/2021 12:00:00 AM,Avg. Gas Price,3.879838710
11/1/2021 12:00:00 AM,Avg. Gas Price,4.444958333
10/1/2021 12:00:00 AM,Avg. Gas Price,5.015376344
9/1/2021 12:00:00 AM,Avg. Gas Price,3.379652778
8/1/2021 12:00:00 AM,Avg. Gas Price,2.809596774
7/1/2021 12:00:00 AM,Avg. Gas Price,3.722540323
6/1/2021 12:00:00 AM,Avg. Gas Price,3.221750000
5/1/2021 12:00:00 AM,Avg. Gas Price,2.936317204
4/1/2021 12:00:00 AM,Avg. Gas Price,2.659291667
3/1/2021 12:00:00 AM,Avg. Gas Price,2.583729839
2/1/2021 12:00:00 AM,Avg. Gas Price,3.621964286
1/1/2021 12:00:00 AM,Avg. Gas Price,2.621880645
12/1/2020 12:00:00 AM,Avg. Gas Price,2.443154839
11/1/2020 12:00:00 AM,Avg. Gas Price,2.689583333
10/1/2020 12:00:00 AM,Avg. Gas Price,2.363736559
9/1/2020 12:00:00 AM,Avg. Gas Price,2.212722222
8/1/2020 12:00:00 AM,Avg. Gas Price,2.342217742
7/1/2020 12:00:00 AM,Avg. Gas Price,1.898427419
6/1/2020 12:00:00 AM,Avg. Gas Price,1.78875
5/1/2020 12:00:00 AM,Avg. Gas Price,1.984287634
4/1/2020 12:00:00 AM,Avg. Gas Price,1.905972222
3/1/2020 12:00:00 AM,Avg. Gas Price,1.858131720
2/1/2020 12:00:00 AM,Avg. Gas Price,1.770086207
1/1/2020 12:00:00 AM,Avg. Gas Price,2.177983871
12/1/2019 12:00:00 AM,Avg. Gas Price,2.235
11/1/2019 12:00:00 AM,Avg. Gas Price,2.628722222
10/1/2019 12:00:00 AM,Avg. Gas Price,2.126733871
9/1/2019 12:00:00 AM,Avg. Gas Price,0.605263889
8/1/2019 12:00:00 AM,Avg. Gas Price,0.689233871
7/1/2019 12:00:00 AM,Avg. Gas Price,1.345389785
6/1/2019 12:00:00 AM,Avg. Gas Price,0.452392222
5/1/2019 12:00:00 AM,Avg. Gas Price,1.988158602
4/1/2019 12:00:00 AM,Avg. Gas Price,0.920708333
3/1/2019 12:00:00 AM,Avg. Gas Price,2.450349462
2/1/2019 12:00:00 AM,Avg. Gas Price,3.100089286
1/1/2019 12:00:00 AM,Avg. Gas Price,1.798145161
12/1/2018 12:00:00 AM,Avg. Gas Price,1.588790323
11/1/2018 12:00:00 AM,Avg. Gas Price,1.495847222
10/1/2018 12:00:00 AM,Avg. Gas Price,1.340752688
9/1/2018 12:00:00 AM,Avg. Gas Price,1.4522275
8/1/2018 12:00:00 AM,Avg. Gas Price,0.890611559
7/1/2018 12:00:00 AM,Avg. Gas Price,1.222231183
6/1/2018 12:00:00 AM,Avg. Gas Price,0.884791667
5/1/2018 12:00:00 AM,Avg. Gas Price,1.138615591
4/1/2018 12:00:00 AM,Avg. Gas Price,1.459777778
3/1/2018 12:00:00 AM,Avg. Gas Price,1.968655914
2/1/2018 12:00:00 AM,Avg. Gas Price,1.885535714
1/1/2018 12:00:00 AM,Avg. Gas Price,1.997500000
12/1/2017 12:00:00 AM,Avg. Gas Price,1.988790323
11/1/2017 12:00:00 AM,Avg. Gas Price,2.189227778
10/1/2017 12:00:00 AM,Avg. Gas Price,0.830860215
9/1/2017 12:00:00 AM,Avg. Gas Price,0.914958333
8/1/2017 12:00:00 AM,Avg. Gas Price,1.735887097
7/1/2017 12:00:00 AM,Avg. Gas Price,1.574821909
6/1/2017 12:00:00 AM,Avg. Gas Price,2.379503472
5/1/2017 12:00:00 AM,Avg. Gas Price,2.829223790
4/1/2017 12:00:00 AM,Avg. Gas Price,2.700545139
3/1/2017 12:00:00 AM,Avg. Gas Price,2.492194220
2/1/2017 12:00:00 AM,Avg. Gas Price,2.406339286
1/1/2017 12:00:00 AM,Avg. Gas Price,2.766451613
12/1/2016 12:00:00 AM,Avg. Gas Price,3.227016129
11/1/2016 12:00:00 AM,Avg. Gas Price,2.637458333
10/1/2016 12:00:00 AM,Avg. Gas Price,2.963212366
9/1/2016 12:00:00 AM,Avg. Gas Price,2.527770833
8/1/2016 12:00:00 AM,Avg. Gas Price,1.875258737
7/1/2016 12:00:00 AM,Avg. Gas Price,2.264842070
6/1/2016 12:00:00 AM,Avg. Gas Price,1.801319444
5/1/2016 12:00:00 AM,Avg. Gas Price,1.167755376
4/1/2016 12:00:00 AM,Avg. Gas Price,1.098222222
3/1/2016 12:00:00 AM,Avg. Gas Price,1.263004032
2/1/2016 12:00:00 AM,Avg. Gas Price,1.705
1/1/2016 12:00:00 AM,Avg. Gas Price,2.257419355
12/1/2015 12:00:00 AM,Avg. Gas Price,2.192580645
11/1/2015 12:00:00 AM,Avg. Gas Price,2.403916667
10/1/2015 12:00:00 AM,Avg. Gas Price,2.460530914
9/1/2015 12:00:00 AM,Avg. Gas Price,2.743770833
8/1/2015 12:00:00 AM,Avg. Gas Price,2.802452957
7/1/2015 12:00:00 AM,Avg. Gas Price,2.715840054
6/1/2015 12:00:00 AM,Avg. Gas Price,2.492444444
5/1/2015 12:00:00 AM,Avg. Gas Price,2.642768817
4/1/2015 12:00:00 AM,Avg. Gas Price,2.427388889
3/1/2015 12:00:00 AM,Avg. Gas Price,2.596303763
2/1/2015 12:00:00 AM,Avg. Gas Price,2.639553571
1/1/2015 12:00:00 AM,Avg. Gas Price,2.626887097
12/1/2023 12:00:00 AM,Avg. Price,52.046774194
11/1/2023 12:00:00 AM,Avg. Price,93.533166667
10/1/2023 12:00:00 AM,Avg. Price,99.678481183
9/1/2023 12:00:00 AM,Avg. Price,111.547902778
8/1/2023 12:00:00 AM,Avg. Price,186.976236559
7/1/2023 12:00:00 AM,Avg. Price,154.993077957
6/1/2023 12:00:00 AM,Avg. Price,184.416861111
5/1/2023 12:00:00 AM,Avg. Price,152.875161290
4/1/2023 12:00:00 AM,Avg. Price,142.314916667
3/1/2023 12:00:00 AM,Avg. Price,174.453924731
2/1/2023 12:00:00 AM,Avg. Price,123.502827381
